found_type,hamdist,count,procent
Asp_in_right_position,0,346816,56.82
Asp_in_right_position,1,111584,18.28
Asp_in_right_position,2,57620,9.44
Asp_in_right_position,3,27071,4.43
Asp_in_right_position,4,12265,2.01
Asp_in_right_position,5,5380,0.88
Asp_in_right_position,6,1750,0.29
Asp_in_right_position,7,286,0.05
Asp_in_near_sites,1,1890,0.31
Asp_in_near_sites,2,2301,0.38
Asp_in_near_sites,3,2036,0.33
Asp_in_near_sites,4,1881,0.31
Asp_in_near_sites,5,1259,0.21
Asp_in_near_sites,6,565,0.09
Asp_in_near_sites,7,307,0.05
Asp_in_near_sites,8,26,0
No_asp,1,7004,1.15
No_asp,2,9037,1.48
No_asp,3,8668,1.42
No_asp,4,5935,0.97
No_asp,5,3815,0.62
No_asp,6,2085,0.34
No_asp,7,671,0.11
No_asp,8,175,0.03
